[2022-09-03 09:23:19] Node GetValue(9): 1
[2022-09-03 09:23:19] Node GetValue(2): TRUE
[2022-09-03 09:23:22] Node GetValue(9): 1
[2022-09-03 09:23:22] Node GetValue(2): TRUE
[2022-09-03 09:23:23] Node GetValue(9): 1
[2022-09-03 09:23:23] Node GetValue(2): TRUE
[2022-09-03 22:54:09] Node GetValue(9): 1
[2022-09-03 22:54:09] Node GetValue(2): TRUE
[2022-09-03 22:54:11] Node GetValue(9): 1
[2022-09-03 22:54:11] Node GetValue(2): TRUE
[2022-09-03 22:54:14] Node GetValue(9): 1
[2022-09-03 22:54:14] Node GetValue(2): TRUE
[2022-09-03 22:54:16] Node GetValue(9): 1
[2022-09-03 22:54:16] Node GetValue(2): TRUE
[2022-09-04 05:52:48] Node GetValue(9): 1
[2022-09-04 05:52:48] Node GetValue(2): TRUE
[2022-09-04 05:52:51] Node GetValue(9): 1
[2022-09-04 05:52:51] Node GetValue(2): TRUE
[2022-09-04 06:00:47] Node GetValue(9): 1
[2022-09-04 06:00:47] Node GetValue(2): TRUE
[2022-09-04 06:00:48] Node GetValue(9): 1
[2022-09-04 06:00:48] Node GetValue(2): TRUE
[2022-09-04 22:05:46] Node GetValue(9): 1
[2022-09-04 22:05:46] Node GetValue(2): TRUE
[2022-09-04 22:05:48] Node GetValue(9): 1
[2022-09-04 22:05:48] Node GetValue(2): TRUE
[2022-09-04 22:05:52] Node GetValue(9): 1
[2022-09-04 22:05:52] Node GetValue(2): TRUE
[2022-09-04 22:05:53] Node GetValue(9): 1
[2022-09-04 22:05:53] Node GetValue(2): TRUE
[2022-09-04 22:06:24] Node GetValue(9): 1
[2022-09-04 22:06:24] Node GetValue(2): TRUE
[2022-09-04 22:06:25] Node GetValue(9): 1
[2022-09-04 22:06:25] Node GetValue(2): TRUE
[2022-09-04 22:06:28] Node GetValue(9): 1
[2022-09-04 22:06:28] Node GetValue(2): TRUE
[2022-09-04 22:06:30] Node GetValue(9): 1
[2022-09-04 22:06:30] Node GetValue(2): TRUE
[2022-09-05 10:22:14] Node GetValue(9): 1
[2022-09-05 10:22:14] Node GetValue(2): TRUE
[2022-09-05 10:22:16] Node GetValue(9): 1
[2022-09-05 10:22:16] Node GetValue(2): TRUE
[2022-09-05 10:22:21] Node GetValue(9): 1
[2022-09-05 10:22:21] Node GetValue(2): TRUE
[2022-09-05 10:22:22] Node GetValue(9): 1
[2022-09-05 10:22:22] Node GetValue(2): TRUE
[2022-09-05 21:40:18] Node GetValue(9): 1
[2022-09-05 21:40:18] Node GetValue(2): TRUE
[2022-09-05 21:40:20] Node GetValue(9): 1
[2022-09-05 21:40:20] Node GetValue(2): TRUE
[2022-09-05 21:40:24] Node GetValue(9): 1
[2022-09-05 21:40:24] Node GetValue(2): TRUE
[2022-09-05 21:40:25] Node GetValue(9): 1
[2022-09-05 21:40:25] Node GetValue(2): TRUE
[2022-09-06 20:00:38] Node GetValue(9): 1
[2022-09-06 20:00:38] Node GetValue(2): TRUE
[2022-09-06 20:00:39] Node GetValue(9): 1
[2022-09-06 20:00:39] Node GetValue(2): TRUE
[2022-09-06 20:00:42] Node GetValue(9): 1
[2022-09-06 20:00:42] Node GetValue(2): TRUE
[2022-09-06 20:00:43] Node GetValue(9): 1
[2022-09-06 20:00:43] Node GetValue(2): TRUE
[2022-09-06 22:09:35] Node GetValue(9): 1
[2022-09-06 22:09:35] Node GetValue(2): TRUE
[2022-09-06 22:09:36] Node GetValue(9): 1
[2022-09-06 22:09:36] Node GetValue(2): TRUE
[2022-09-06 22:09:45] Node GetValue(9): 1
[2022-09-06 22:09:45] Node GetValue(2): TRUE
[2022-09-06 22:09:45] Node GetValue(9): 1
[2022-09-06 22:09:45] Node GetValue(2): TRUE
